Country,WB Code,Region,Survey Year,Survey Type,Median income/consumption
Romania (i),ROM,Europe & Central Asia,2012,i,8.35
Romania (c),ROM,Europe & Central Asia,2012,c,7.75
Russia,RUS,Europe & Central Asia,2012,c,18.5
Rwanda,RWA,Sub-Saharan Africa,2011,c,1.6
Samoa,WSM,East Asia & Pacific,2008,c,6.9
Sao Tome and Principe,STP,Sub-Saharan Africa,2010,c,2.35
Senegal,SEN,Sub-Saharan Africa,2011,c,2.35
Serbia,SRB,Europe & Central Asia,2010,c,11.1
Seychelles,SYC,Sub-Saharan Africa,2006,c,12.5
Sierra Leone,SLE,Sub-Saharan Africa,2011,c,1.85
Slovak Republic,SVK,Europe & Central Asia,2012,i,26.15
Slovenia,SVN,Europe & Central Asia,2012,i,29.9
Solomon Islands,SLB,East Asia & Pacific,2005,c,2.05
South Africa,ZAF,Sub-Saharan Africa,2011,c,4.6
Spain,ESP,Europe & Central Asia,2012,i,30.8
Sri Lanka,LKA,South Asia,2013,c,5.45
St Lucia,LCA,Latin America & Caribbean,1995,I,2.5
Sudan,SDN,Sub-Saharan Africa,2009,c,3.7
Suriname,SUR,Latin America & Caribbean,1999,i,4.6
Swaziland,SWZ,Sub-Saharan Africa,2009,c,2.25
Sweden,SWE,Europe & Central Asia,2012,i,44.6
Switzerland,CHE,Europe & Central Asia,2012,i,55.3
"Taiwan, China",TWN,East Asia & Pacific,2010,i,34.1
Tajikistan,TJK,Europe & Central Asia,2009,c,4.6
Tanzania,TZA,Sub-Saharan Africa,2012,c,2
Thailand,THA,East Asia & Pacific,2012,c,10.75
Togo,TGO,Sub-Saharan Africa,2011,c,1.75
Tonga,TON,East Asia & Pacific,2009,c,7.45
Trinidad and Tobago,TTO,Latin America & Caribbean,1992,I,7.65
Tunisia,TUN,Middle East & North Africa,2010,c,7.6
Turkey,TUR,Europe & Central Asia,2012,c,12.2
Uganda,UGA,Sub-Saharan Africa,2012,c,2.5
Ukraine,UKR,Europe & Central Asia,2013,c,11.75
United Kingdom,GBR,Europe & Central Asia,2012,i,37.8
United States,USA,North America,2013,i,48.2
Uruguay,URY,Latin America & Caribbean,2013,i,17.9
Vanuatu,VUT,East Asia & Pacific,2010,c,3.65
Venezuela,VEN,Latin America & Caribbean,2006,i,8.4
Vietnam,VNM,East Asia & Pacific,2012,c,6.15
West Bank and Gaza,WBG,Middle East & North Africa,2009,c,8.5
Zambia,ZMB,Sub-Saharan Africa,2010,c,1.35
