,Mean of Best Cluster,Mean of All Countries,Difference (%)
Primary drop out rate,5.582579423076923,17.506239775280907,213.58693622726963
Primary repeaters rate,1.0514719230769232,5.03141033707865,378.5111448677801
Lower secondary teacher-student ratio,12.254641538461538,18.15910769662923,48.18146772907522
Primary teacher-student ratio,13.41357730769231,23.93683853932583,78.45230985174048
Average Income GNI,51801.53846153846,14579.662921348314,71.85476849848116
GDP (USD),1026326435435.2592,346290101759.33466,66.2592631541762
Labor force count,16188544.038461538,8178203.320224719,49.4815389154544
Three year average unnourished count,2.3153846153846165,4.097191011235961,76.9550935085298
Lower secondary repeaters rate,0.7351893283513605,2.8569062287869387,288.5946270729287
